playerId,sweaterNumber,name,position,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win,saves,shots,evSaves,evShots,ppSaves,ppShots,gamesPlayed,fantasyPoints,decisionType
8477992,31,J. Johansson,G,0,3,3600,TBL,NSH,2023-10-10,Tuesday 05:30 PM,2023020001,1,0,4,28,31,21,23,6,7,1,3.6000000000000005,W
8477465,35,T. Jarry,G,0,3,3450,PIT,CHI,2023-10-10,Tuesday 08:00 PM,2023020002,1,0,0,32,35,26,29,5,5,1,0.40000000000000036,L
8478499,33,A. Hill,G,0,1,3600,VGK,SEA,2023-10-10,Tuesday 10:30 PM,2023020003,1,0,4,32,33,22,23,10,10,1,8.4,W
8475883,31,F. Andersen,G,0,3,3600,CAR,OTT,2023-10-11,Wednesday 07:00 PM,2023020004,1,0,4,27,30,17,19,6,6,1,3.4000000000000004,W
8478492,35,I. Samsonov,G,0,5,3726,TOR,MTL,2023-10-11,Wednesday 07:00 PM,2023020005,1,0,4,19,24,16,20,3,4,1,-2.1999999999999997,W
8476999,35,L. Ullmark,G,0,1,3593,BOS,CHI,2023-10-11,Wednesday 07:30 PM,2023020006,1,0,4,20,21,17,18,0,0,1,6.0,W
8474593,25,J. Markstrom,G,0,3,3584,CGY,WPG,2023-10-11,Wednesday 10:00 PM,2023020007,1,0,4,34,37,20,23,14,14,1,4.800000000000001,W
8475660,39,C. Talbot,G,0,4,3579,LAK,COL,2023-10-11,Wednesday 10:00 PM,2023020008,1,0,0,32,36,25,28,6,7,1,-1.5999999999999996,L
8479193,29,C. DeSmith,G,0,0,706,VAN,EDM,2023-10-11,Wednesday 10:00 PM,2023020009,0,0,0,5,5,3,3,1,1,1,1.0,L
8477967,35,T. Demko,G,0,1,2885,VAN,EDM,2023-10-11,Wednesday 10:00 PM,2023020009,1,0,4,21,22,16,16,5,6,1,6.2,W
8482221,27,D. Levi,G,0,4,3534,BUF,NYR,2023-10-12,Thursday 07:00 PM,2023020010,1,0,0,26,30,23,25,3,4,1,-2.8,L
8478007,90,E. Merzlikins,G,0,2,3481,CBJ,PHI,2023-10-12,Thursday 07:00 PM,2023020011,1,0,0,33,35,25,27,3,3,1,2.6000000000000005,L
8477970,41,V. Vanecek,G,0,3,3598,NJD,DET,2023-10-12,Thursday 07:30 PM,2023020012,1,0,4,32,35,25,26,4,6,1,4.4,W
8479979,29,J. Oettinger,G,0,1,3900,DAL,STL,2023-10-12,Thursday 08:00 PM,2023020013,1,0,4,23,24,20,21,0,0,1,6.6000000000000005,W
8479406,32,F. Gustavsson,G,0,0,3600,MIN,FLA,2023-10-12,Thursday 08:00 PM,2023020014,1,1,4,41,41,33,33,7,7,1,15.200000000000001,W
8477424,74,J. Saros,G,0,0,3576,NSH,SEA,2023-10-12,Thursday 08:00 PM,2023020015,1,1,4,23,23,21,21,2,2,1,11.600000000000001,W
8478039,36,K. Kahkonen,G,0,4,3600,SJS,VGK,2023-10-12,Thursday 10:30 PM,2023020016,1,0,0,28,32,24,28,1,1,1,-2.3999999999999995,L
8481033,40,A. Schmid,G,0,3,3900,NJD,ARI,2023-10-13,Friday 07:00 PM,2023020017,1,0,1,30,33,23,24,6,8,1,1.0,OTL
8479292,79,C. Lindgren,G,0,4,3596,WSH,PIT,2023-10-13,Friday 07:30 PM,2023020018,1,0,0,31,35,28,30,3,5,1,-1.7999999999999998,L
8476341,31,A. Forsberg,G,0,2,3584,OTT,PHI,2023-10-14,Saturday 01:00 PM,2023020019,1,0,4,19,21,13,14,5,6,1,3.8000000000000003,W
8476945,37,C. Hellebuyck,G,0,4,3592,WPG,FLA,2023-10-14,Saturday 04:00 PM,2023020020,1,0,4,29,33,16,19,12,13,1,1.8000000000000007,W
8480280,1,J. Swayman,G,0,2,3541,BOS,NSH,2023-10-14,Saturday 07:00 PM,2023020021,1,0,4,34,36,18,20,13,13,1,6.800000000000001,W
8477484,30,S. Martin,G,0,2,1200,CBJ,NYR,2023-10-14,Saturday 07:00 PM,2023020022,0,0,0,15,17,12,13,3,4,1,-1.0,L
8478007,90,E. Merzlikins,G,0,1,2394,CBJ,NYR,2023-10-14,Saturday 07:00 PM,2023020022,1,0,4,24,25,23,24,1,1,1,6.800000000000001,W
8478024,35,V. Husso,G,0,4,3600,DET,TBL,2023-10-14,Saturday 07:00 PM,2023020023,1,0,4,21,25,20,23,1,2,1,0.20000000000000018,W
8478470,35,S. Montembeault,G,0,2,3600,MTL,CHI,2023-10-14,Saturday 07:00 PM,2023020024,1,0,4,28,30,14,16,14,14,1,5.6000000000000005,W
8477968,39,A. Nedeljkovic,G,0,2,3582,PIT,CGY,2023-10-14,Saturday 07:00 PM,2023020025,1,0,4,34,36,31,32,3,4,1,6.800000000000001,W
8478492,35,I. Samsonov,G,0,4,3600,TOR,MIN,2023-10-14,Saturday 07:00 PM,2023020026,1,0,4,28,32,26,30,2,2,1,1.6000000000000005,W
8478009,30,I. Sorokin,G,0,2,3591,NYI,BUF,2023-10-14,Saturday 07:30 PM,2023020027,1,0,4,26,28,25,27,1,1,1,5.2,W
