playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win
8477992,31,J. Johansson,G,21/23,6/7,1/1,28/31,0.903,2,1,0,0,3,3600,TBL,NSH,2023-10-10,Tuesday 05:30 PM,2023020001,1,0,4
8477465,35,T. Jarry,G,26/29,5/5,1/1,32/35,0.914,3,0,0,0,3,3450,PIT,CHI,2023-10-10,Tuesday 08:00 PM,2023020002,1,0,0
8478499,33,A. Hill,G,22/23,10/10,0/0,32/33,0.97,1,0,0,0,1,3600,VGK,SEA,2023-10-10,Tuesday 10:30 PM,2023020003,1,0,4
8475883,31,F. Andersen,G,17/19,6/6,4/5,27/30,0.9,2,0,1,0,3,3600,CAR,OTT,2023-10-11,Wednesday 07:00 PM,2023020004,1,0,4
8478492,35,I. Samsonov,G,16/20,3/4,0/0,19/24,0.792,4,1,0,0,5,3726,TOR,MTL,2023-10-11,Wednesday 07:00 PM,2023020005,1,0,4
8476999,35,L. Ullmark,G,17/18,0/0,3/3,20/21,0.952,1,0,0,0,1,3593,BOS,CHI,2023-10-11,Wednesday 07:30 PM,2023020006,1,0,4
8474593,25,J. Markstrom,G,20/23,14/14,0/0,34/37,0.919,3,0,0,0,3,3584,CGY,WPG,2023-10-11,Wednesday 10:00 PM,2023020007,1,0,4
8475660,39,C. Talbot,G,25/28,6/7,1/1,32/36,0.889,3,1,0,0,4,3579,LAK,COL,2023-10-11,Wednesday 10:00 PM,2023020008,1,0,0
8479193,29,C. DeSmith,G,3/3,1/1,1/1,5/5,1.0,0,0,0,0,0,706,VAN,EDM,2023-10-11,Wednesday 10:00 PM,2023020009,0,0,0
8477967,35,T. Demko,G,16/16,5/6,0/0,21/22,0.955,0,1,0,0,1,2885,VAN,EDM,2023-10-11,Wednesday 10:00 PM,2023020009,1,0,4
8482221,27,D. Levi,G,23/25,3/4,0/1,26/30,0.867,2,1,1,0,4,3534,BUF,NYR,2023-10-12,Thursday 07:00 PM,2023020010,1,0,0
8478007,90,E. Merzlikins,G,25/27,3/3,5/5,33/35,0.943,2,0,0,0,2,3481,CBJ,PHI,2023-10-12,Thursday 07:00 PM,2023020011,1,0,0
8477970,41,V. Vanecek,G,25/26,4/6,3/3,32/35,0.914,1,2,0,0,3,3598,NJD,DET,2023-10-12,Thursday 07:30 PM,2023020012,1,0,4
8479979,29,J. Oettinger,G,20/21,0/0,3/3,23/24,0.958,1,0,0,0,1,3900,DAL,STL,2023-10-12,Thursday 08:00 PM,2023020013,1,0,4
8479406,32,F. Gustavsson,G,33/33,7/7,1/1,41/41,1.0,0,0,0,0,0,3600,MIN,FLA,2023-10-12,Thursday 08:00 PM,2023020014,1,1,4
8477424,74,J. Saros,G,21/21,2/2,0/0,23/23,1.0,0,0,0,0,0,3576,NSH,SEA,2023-10-12,Thursday 08:00 PM,2023020015,1,1,4
8478039,36,K. Kahkonen,G,24/28,1/1,3/3,28/32,0.875,4,0,0,0,4,3600,SJS,VGK,2023-10-12,Thursday 10:30 PM,2023020016,1,0,0
8481033,40,A. Schmid,G,23/24,6/8,1/1,30/33,0.909,1,2,0,0,3,3900,NJD,ARI,2023-10-13,Friday 07:00 PM,2023020017,1,0,1
8479292,79,C. Lindgren,G,28/30,3/5,0/0,31/35,0.886,2,2,0,0,4,3596,WSH,PIT,2023-10-13,Friday 07:30 PM,2023020018,1,0,0
8476341,31,A. Forsberg,G,13/14,5/6,1/1,19/21,0.905,1,1,0,0,2,3584,OTT,PHI,2023-10-14,Saturday 01:00 PM,2023020019,1,0,4
8476945,37,C. Hellebuyck,G,16/19,12/13,1/1,29/33,0.879,3,1,0,0,4,3592,WPG,FLA,2023-10-14,Saturday 04:00 PM,2023020020,1,0,4
8480280,1,J. Swayman,G,18/20,13/13,3/3,34/36,0.944,2,0,0,0,2,3541,BOS,NSH,2023-10-14,Saturday 07:00 PM,2023020021,1,0,4
8477484,30,S. Martin,G,12/13,3/4,0/0,15/17,0.882,1,1,0,0,2,1200,CBJ,NYR,2023-10-14,Saturday 07:00 PM,2023020022,0,0,0
8478007,90,E. Merzlikins,G,23/24,1/1,0/0,24/25,0.96,1,0,0,0,1,2394,CBJ,NYR,2023-10-14,Saturday 07:00 PM,2023020022,1,0,4
8478024,35,V. Husso,G,20/23,1/2,0/0,21/25,0.84,3,1,0,0,4,3600,DET,TBL,2023-10-14,Saturday 07:00 PM,2023020023,1,0,4
8478470,35,S. Montembeault,G,14/16,14/14,0/0,28/30,0.933,2,0,0,0,2,3600,MTL,CHI,2023-10-14,Saturday 07:00 PM,2023020024,1,0,4
8477968,39,A. Nedeljkovic,G,31/32,3/4,0/0,34/36,0.944,1,1,0,0,2,3582,PIT,CGY,2023-10-14,Saturday 07:00 PM,2023020025,1,0,4
8478492,35,I. Samsonov,G,26/30,2/2,0/0,28/32,0.875,4,0,0,0,4,3600,TOR,MIN,2023-10-14,Saturday 07:00 PM,2023020026,1,0,4
8478009,30,I. Sorokin,G,25/27,1/1,0/0,26/28,0.929,2,0,0,0,2,3591,NYI,BUF,2023-10-14,Saturday 07:30 PM,2023020027,1,0,4
8476412,50,J. Binnington,G,28/28,1/2,1/1,30/31,0.968,0,1,0,0,1,3900,STL,SEA,2023-10-14,Saturday 08:00 PM,2023020028,1,0,4
8479973,74,S. Skinner,G,11/14,1/2,0/0,12/16,0.75,3,1,0,0,4,3458,EDM,VAN,2023-10-14,Saturday 10:00 PM,2023020029,1,0,0
