playerId,sweaterNumber,name,position,goals,assists,points,plusMinus,pim,hits,blockedShots,powerPlayGoals,powerPlayPoints,shorthandedGoals,shPoints,shots,faceoffs,toi,powerPlayToi,shorthandedToi,team,opponent,secondaryPosition,tertiaryPosition,gameDate,gameTime,gameId,gamesPlayed,fantasyPoints,specialTeams
8478178,43,D. Raddysh,D,0,0,0,1,0,1,1,0,0,0,0,3,0/0,1084,5,19,TBL,NSH,D,D,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.9,0
8475177,44,C. de Haan,D,0,0,0,0,0,2,1,0,0,0,0,0,0/0,821,0,172,TBL,NSH,D,D,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.7,0
8480246,48,N. Perbix,D,0,0,0,-1,2,0,1,0,0,0,0,1,0/0,702,0,0,TBL,NSH,D,D,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.6,0
8475167,77,V. Hedman,D,0,1,1,-1,0,0,1,0,0,0,0,4,0/0,1615,386,248,TBL,NSH,D,D,2023-10-10,Tuesday 05:30 PM,2023020001,1,1.9,0
8478416,81,E. Cernak,D,0,0,0,0,0,6,1,0,0,0,0,2,0/0,1160,0,276,TBL,NSH,D,D,2023-10-10,Tuesday 05:30 PM,2023020001,1,1.3,0
8479410,98,M. Sergachev,D,0,1,1,1,2,0,2,0,1,0,0,2,0/0,1380,110,214,TBL,NSH,D,D,2023-10-10,Tuesday 05:30 PM,2023020001,1,2.7,1
8476822,11,L. Glendening,C,0,0,0,0,0,1,2,0,0,0,0,1,9/13,841,0,207,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,1.2,0
8477426,20,N. Paul,L,2,1,3,1,0,0,1,2,2,0,0,3,3/11,972,390,51,TBL,NSH,W,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,6.8,2
8478010,21,B. Point,C,0,3,3,1,0,0,1,0,2,0,0,3,0/2,1333,408,4,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,4.8,2
8479591,23,M. Eyssimont,C,0,0,0,0,0,0,0,0,0,0,0,2,0/0,511,0,0,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.2,0
8479542,38,B. Hagel,L,1,0,1,0,0,0,1,0,0,0,0,4,1/1,1087,94,224,TBL,NSH,W,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,2.9,0
8484325,39,W. Merela,C,0,0,0,0,0,1,1,0,0,0,0,0,0/0,621,0,70,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.6,0
8477353,64,T. Motte,C,0,0,0,0,0,2,1,0,0,0,0,0,0/0,475,0,135,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.7,0
8478519,71,A. Cirelli,C,0,0,0,-1,0,0,0,0,0,0,0,1,9/15,1002,87,225,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.1,0
8477839,73,C. Sheary,L,0,0,0,-1,0,0,3,0,0,0,0,0,0/0,724,89,0,TBL,NSH,W,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,1.5,0
8479661,84,T. Jeannot,L,0,0,0,0,0,2,0,0,0,0,0,1,0/1,708,102,0,TBL,NSH,W,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,0.30000000000000004,0
8476453,86,N. Kucherov,R,2,0,2,1,2,1,0,0,0,0,0,5,0/0,1279,407,0,TBL,NSH,W,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,4.6,0
8474564,91,S. Stamkos,C,0,1,1,0,2,2,0,0,1,0,0,2,12/17,1223,402,3,TBL,NSH,C,F,2023-10-10,Tuesday 05:30 PM,2023020001,1,1.9,1
8477244,2,C. Ruhwedel,D,0,0,0,0,0,2,0,0,0,0,0,0,0/0,692,0,295,PIT,CHI,D,D,2023-10-10,Tuesday 08:00 PM,2023020002,1,0.2,0
8477435,27,R. Graves,D,0,0,0,-1,0,1,4,0,0,0,0,0,0/0,1224,2,304,PIT,CHI,D,D,2023-10-10,Tuesday 08:00 PM,2023020002,1,2.1,0
8477969,28,M. Pettersson,D,0,1,1,1,0,1,0,0,0,0,0,2,0/0,1300,0,177,PIT,CHI,D,D,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.3,0
8471724,58,K. Letang,D,0,1,1,-1,2,0,1,0,0,0,0,4,0/0,1472,80,123,PIT,CHI,D,D,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.9,0
8474578,65,E. Karlsson,D,0,0,0,-2,0,1,3,0,0,0,0,2,0/0,1564,160,54,PIT,CHI,D,D,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.8,0
8480058,73,P. Joseph,D,0,0,0,-1,0,0,1,0,0,0,0,0,0/0,690,0,8,PIT,CHI,D,D,2023-10-10,Tuesday 08:00 PM,2023020002,1,0.5,0
8482055,10,D. O'Connor,L,0,0,0,-1,0,0,0,0,0,0,0,2,0/0,782,0,136,PIT,CHI,W,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,0.2,0
8475810,17,B. Rust,R,1,0,1,-1,0,0,0,0,0,0,0,5,0/0,1134,74,129,PIT,CHI,W,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,2.5,0
8475191,19,R. Smith,R,0,0,0,1,0,1,1,0,0,0,0,4,0/0,1017,79,115,PIT,CHI,W,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.0,0
8474189,20,L. Eller,C,0,1,1,0,2,0,2,0,0,0,0,1,8/10,787,0,129,PIT,CHI,C,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,2.1,0
8478424,43,J. Harkins,C,0,0,0,-1,0,2,0,0,0,0,0,2,0/0,631,77,0,PIT,CHI,C,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,0.4,0
8478569,55,N. Acciari,C,0,0,0,0,0,5,2,0,0,0,0,2,5/7,630,0,224,PIT,CHI,C,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.7000000000000002,0
8477404,59,J. Guentzel,L,0,1,1,-2,0,2,1,0,0,0,0,4,0/0,1161,163,0,PIT,CHI,W,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,2.1,0
8476483,67,R. Rakell,R,0,0,0,0,0,4,1,0,0,0,0,2,1/2,1017,161,0,PIT,CHI,W,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.1,0
8471215,71,E. Malkin,C,0,0,0,-1,0,0,1,0,0,0,0,6,10/13,1179,161,0,PIT,CHI,C,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,1.1,0
8470604,77,J. Carter,C,0,0,0,0,2,0,0,0,0,0,0,1,1/3,614,77,53,PIT,CHI,C,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,0.1,0
8476442,83,M. Nieto,L,0,0,0,0,2,0,1,0,0,0,0,0,0/0,668,0,173,PIT,CHI,W,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,0.5,0
8471675,87,S. Crosby,C,1,0,1,-2,0,0,1,0,0,0,0,4,15/24,1108,166,0,PIT,CHI,C,F,2023-10-10,Tuesday 08:00 PM,2023020002,1,2.9,0
8475188,3,B. McNabb,D,0,1,1,3,0,3,3,0,0,0,0,0,0/0,1131,0,345,VGK,SEA,D,D,2023-10-10,Tuesday 10:30 PM,2023020003,1,2.8,0
8474565,7,A. Pietrangelo,D,0,0,0,0,0,0,2,0,0,0,0,3,0/0,1560,180,398,VGK,SEA,D,D,2023-10-10,Tuesday 10:30 PM,2023020003,1,1.3,0
8479980,14,N. Hague,D,0,0,0,0,0,1,2,0,0,0,0,1,0/0,1285,7,322,VGK,SEA,D,D,2023-10-10,Tuesday 10:30 PM,2023020003,1,1.2,0
8477018,17,B. Hutton,D,0,0,0,1,0,0,2,0,0,0,0,1,0/0,908,168,0,VGK,SEA,D,D,2023-10-10,Tuesday 10:30 PM,2023020003,1,1.1,0
8477447,27,S. Theodore,D,0,0,0,2,0,2,2,0,0,0,0,0,0/0,1092,307,16,VGK,SEA,D,D,2023-10-10,Tuesday 10:30 PM,2023020003,1,1.2,0
8481167,94,B. Pachal,D,0,0,0,0,2,1,1,0,0,0,0,0,0/0,969,0,240,VGK,SEA,D,D,2023-10-10,Tuesday 10:30 PM,2023020003,1,0.6,0
8478403,9,J. Eichel,C,1,0,1,1,0,0,3,0,0,0,0,3,8/13,1193,285,250,VGK,SEA,C,F,2023-10-10,Tuesday 10:30 PM,2023020003,1,3.8,0
8478462,10,N. Roy,C,0,0,0,0,0,0,1,0,0,0,0,2,6/13,1046,131,197,VGK,SEA,C,F,2023-10-10,Tuesday 10:30 PM,2023020003,1,0.7,0
8476905,20,C. Stephenson,C,1,1,2,2,0,0,1,0,0,0,0,2,9/13,1113,252,236,VGK,SEA,C,F,2023-10-10,Tuesday 10:30 PM,2023020003,1,3.7,0
8479353,21,B. Howden,C,0,1,1,1,15,0,0,0,0,0,0,1,1/1,717,0,123,VGK,SEA,C,F,2023-10-10,Tuesday 10:30 PM,2023020003,1,1.1,0
8478020,22,M. Amadio,R,0,0,0,0,0,0,0,0,0,0,0,2,0/0,659,57,0,VGK,SEA,W,F,2023-10-10,Tuesday 10:30 PM,2023020003,1,0.2,0
8477478,28,W. Carrier,L,0,0,0,0,2,1,0,0,0,0,0,3,0/0,309,0,0,VGK,SEA,W,F,2023-10-10,Tuesday 10:30 PM,2023020003,1,0.4,0
