"id,fullName"
"145,Zdeno Chara"
"405,Jaromir Jagr"
"576,Patrick Marleau"
"939,Joe Thornton"
"1183,Jason Spezza"
"1549,Ryan Miller"
"1929,Craig Anderson"
"1971,Mike Smith"
"2101,P.A. Parenteau"
"2147,Mikko  Koivu"
"2179,Chris Kunitz"
"2180,Brooks Laich"
"2265,Josh Gorges"
"2273,Corey Perry"
"2278,Shea Weber"
"2280,Patrice Bergeron"
"2288,Dustin Brown"
"2300,Brent Burns"
"2306,Duncan Keith"
"2310,Ryan Getzlaf"
"2346,Marc-Andre Fleury"
"2378,Eric Staal"
"2383,Jeff Carter"
"2410,Braydon Coburn"
"2688,Nate Thompson"
"2704,Joel Ward"
"2865,Brian Elliott"
"2975,Zach Parise"
"3006,Mark Giordano"
"3017,Dennis Wideman"
"3047,Ryan Suter"
"3082,Kyle Quincey"
"3101,Alex Ovechkin"
"3114,Sidney Crosby"
"3116,Jaroslav Halak"
"3124,Evgeni Malkin"
"3144,Valtteri Filppula"
"3154,Brad Richardson"
"3157,Pekka Rinne"
"3161,Loui Eriksson"
"3183,Anze Kopitar"
"3187,Curtis McElhinney"
"3191,Andrew Ladd"
"3197,Jeff Glass"
"3227,James Neal"
"3231,Carey Price"
"3242,Devan Dubnyk"
"3249,Alexander Radulov"
"3250,Marc Staal"
"3256,Mark Streit"
"3257,Blake Comeau"
"3259,Alex Burrows"
"3264,Bobby Ryan"
"3301,David Backes"
"3313,Andy Greene"
"3321,Travis Zajac"
"3330,Keith Yandle"
"3343,David Krejci"
"3345,Michael Blunden"
"3367,Frans Nielsen"
"3371,Marc-Edouard Vlasic"
"3375,Thomas Greiss"
"3387,Carl Soderberg"
"3389,Danny Taylor"
"3405,Tuukka Rask"
"3422,Cody Franson"
"3423,Dan Girardi"
"3425,Kris Russell"
"3451,Joe Pavelski"
"3452,Andrej Sekera"
"3454,Trevor Lewis"
"3464,Alexander Edler"
"3467,Paul Stastny"
"3479,Phil Kessel"
"3506,Derick Brassard"
"3521,Darren Helm"
"3530,Cody McLeod"
"3533,Jonathan Bernier"
"3535,Nick Foligno"
"3539,Kris Letang"
"3541,Jordan Staal"
"3583,Jack Johnson"
"3626,Mark  Letestu"
"3634,Jonathan Quick"
"3640,Jared Boll"
"3641,Derek Dorsett"
"3648,Brian Boyle"
"3649,Erik Johnson"
"3655,Andrew Cogliano"
"3666,Nicklas Backstrom"
"3668,Anton Stralman"
"3669,Jonathan Toews"
"3683,Ryan Reaves"
"3689,Cal Clutterbuck"
"3697,Niklas Hjalmarsson"
"3699,Patric Hornqvist"
"3735,Patrick Kane"
"3750,Cory Schneider"
"3756,Artem Anisimov"
"3757,Alex Goligoski"
"3759,Semyon Varlamov"
"3760,Anton Khudobin"
"3769,Thomas Hickey"
"3773,Logan Couture"
"3774,David Schlemko"
"3775,Claude Giroux"
"3780,Milan Lucic"
"3781,Jakub Voracek"
"3791,Brandon Sutter"
"3792,David Perron"
"3797,Mikael Backlund"
"3802,Michael Frolik"
"3808,Sam Gagner"
"3809,Pierre-Cedric Labrie"
"3817,Wayne Simmonds"
"3822,James van Riemsdyk"
"3852,Brad Marchand"
"3853,Pat Maroon"
"3859,Kyle Okposo"
"3870,James Reimer"
"3879,Jay Beagle"
"3884,Nick Holden"
"3886,Mathieu Perreault"
"3892,Kyle Turris"
"3927,Alec Martinez"
"3937,Antti Niemi"
"3938,Nathan Gerbe"
"3946,Lars Eller"
"3961,Blake Wheeler"
"3993,Ben Lovejoy"
"3995,Drew Doughty"
"3998,Jamie Benn"
"4002,Zach Bogosian"
"4005,Max Pacioretty"
"4013,Alex Pietrangelo"
"4044,P.K. Subban"
"4045,Yannick Weber"
"4058,Stephen Gionta"
"4568,Paul Byron"
"4906,Jake Muzzin"
"4911,Steven Kampfer"
"4916,Robert Bortuzzo"
"4917,Chris DiDomenico"
"4924,Greg Pateryn"
"4927,Nick Bonino"
"4943,Brad Malone"
"4954,Ryan McDonagh"
"4960,Carl Gunnarsson"
"4968,Alex Killorn"
"4969,Evgenii Dadonov"
"4973,Brendan Smith"
"4985,Colton Sceviour"
"4990,Paul Postma"
"4991,Ian Cole"
"5005,Riley Nash"
"5008,Kevin Shattenkirk"
"5032,Jordan Eberle"
"5034,T.J. Oshie"
"5037,Steven Stamkos"
"5050,Matt Martin"
"5052,Tyler Myers"
"5056,Josh Bailey"
"5062,Michael Del Zotto"
"5069,Tyler Ennis"
"5073,Travis Hamonic"
"5074,Adam Henrique"
"5075,Braden Holtby"
"5079,Jared Spurgeon"
"5082,David Desharnais"
"5084,Jason Garrison"
"5086,Micheal Haley"
"5092,Luke Schenn"
"5096,Martin Jones"
"5098,Luca Sbisa"
"5103,Mike Hoffman"
"5111,Jake Allen"
"5116,Matt Calvert"
"5118,John Carlson"
"5125,Jason Demers"
"5133,Michael Hutchinson"
"5145,Zac Rinaldo"
"5148,Michael Stone"
"5157,Victor Hedman"
"5160,John Tavares"
"5161,Matt Duchene"
"5162,TJ Brodie"
"5164,Erik Karlsson"
"5168,Stefan Elliott"
"5169,Ryan Ellis"
"5172,Marcus Foligno"
"5175,Byron Froese"
"5181,Tyson Barrie"
"5183,Jean-Francois Berube"
"5190,Kyle Clifford"
"5193,Nicolas Deslauriers"
"5194,Zack Kassian"
"5202,Brayden McNabb"
"5204,John Moore"
"5208,Ryan O'Reilly"
"5218,Marco Scandella"
"5219,Brayden Schenn"
"5223,Alex Stalock"
"5227,Tomas Tatar"
"5237,Cody Eakin"
"5246,Ben Chiarot"
"5251,Evander Kane"
"5262,Casey Cizikas"
"5265,Kevin Connauton"
"5266,Calvin de Haan"
"5268,Mikko Koskinen"
"5283,Robin Lehner"
"5328,Dmitry Kulikov"
"5332,Richard Panik"
"5347,Tyler Bozak"
"5349,Nazem Kadri"
"5382,Dustin Tokarski"
"5393,Andrew Agozzino"
"5407,Jeff Petry"
"5416,Nate Prosser"
"5420,Carter Hutton"
"5427,David Savard"
"5428,Taylor Hall"
