playerId,fullName,birthDate,shootsCatches,height,weight
8477967,Thatcher Demko,1995-12-08,L,76,192
8481559,Jack Hughes,2001-05-14,L,71,175
8479318,Auston Matthews,1997-09-17,L,75,215
8476453,Nikita Kucherov,1993-06-17,L,71,182
8480012,Elias Pettersson,1998-11-12,L,74,176
8475660,Cam Talbot,1987-07-05,L,76,200
8478499,Adin Hill,1996-05-11,L,76,215
8479979,Jake Oettinger,1998-12-18,L,78,224
8477956,David Pastrnak,1996-05-25,R,72,196
8476468,J.T. Miller,1993-03-14,L,73,218
8478420,Mikko Rantanen,1996-10-29,L,76,215
8480865,Noah Dobson,2000-01-07,R,76,200
8480800,Quinn Hughes,1999-10-14,L,70,180
8479407,Jesper Bratt,1998-07-30,L,70,175
8477933,Sam Reinhart,1995-11-06,R,74,193
8478550,Artemi Panarin,1991-10-30,R,72,175
8477939,William Nylander,1996-05-01,R,72,202
8480069,Cale Makar,1998-10-30,R,71,187
8478366,Frank Vatrano,1994-03-14,L,71,197
8477492,Nathan MacKinnon,1995-09-01,R,72,200
8478398,Kyle Connor,1996-12-09,L,73,183
8479345,Jakob Chychrun,1998-03-31,L,74,205
8479325,Charlie McAvoy,1997-12-21,R,73,209
8478444,Brock Boeser,1997-02-25,R,73,208
8476885,Jacob Trouba,1994-02-26,R,75,209
8476875,Mike Matheson,1994-02-27,L,74,196
8474166,Alec Martinez,1987-07-26,L,73,210
8474565,Alex Pietrangelo,1990-01-18,R,75,215
8471675,Sidney Crosby,1987-08-07,L,71,200
8478493,Joel Eriksson Ek,1997-01-29,L,75,207
8480801,Brady Tkachuk,1999-09-16,L,76,225
8478403,Jack Eichel,1996-10-28,R,74,203
8476462,Dougie Hamilton,1993-06-17,R,78,230
8475810,Bryan Rust,1992-05-11,R,71,192
8471215,Evgeni Malkin,1986-07-31,L,75,195
8478397,Rasmus Andersson,1996-10-27,R,73,202
8477960,Adrian Kempe,1996-09-13,L,74,200
8475184,Chris Kreider,1991-04-30,L,75,233
8474564,Steven Stamkos,1990-02-07,R,73,193
8478010,Brayden Point,1996-03-13,R,70,178
8480803,Evan Bouchard,1999-10-20,R,75,192
8477404,Jake Guentzel,1994-10-06,L,71,180
8473512,Claude Giroux,1988-01-12,R,71,188
8475167,Victor Hedman,1990-12-18,L,79,246
8475726,Tyler Toffoli,1992-04-24,R,72,203
8478483,Mitchell Marner,1997-05-05,R,72,180
8470794,Joe Pavelski,1984-07-11,R,73,196
8475166,John Tavares,1990-09-20,L,73,211
8473419,Brad Marchand,1988-05-11,L,69,176
8477934,Leon Draisaitl,1995-10-27,L,74,209
8480839,Rasmus Dahlin,2000-04-13,L,75,202
8471685,Anze Kopitar,1987-08-24,L,75,225
8479323,Adam Fox,1998-02-17,R,71,185
8475683,Sergei Bobrovsky,1988-09-20,L,74,188
8482116,Tim Stützle,2002-01-15,L,72,197
8478013,Jake Walman,1996-02-20,L,73,218
8477946,Dylan Larkin,1996-07-30,L,73,199
8476432,Boone Jenner,1993-06-15,L,74,208
8481542,Moritz Seider,2001-04-06,R,75,205
8479337,Alex DeBrincat,1997-12-18,R,68,180
8476887,Filip Forsberg,1994-08-13,R,73,205
