gameID,gameDate,gameTime,awayTeam,homeTeam,gameDT,winningGoalie
2023020037,2023-10-16,Monday 07:00 PM,ARI,NYR,2023-10-16 23:00:00,8478048
2023020053,2023-10-19,Thursday 07:00 PM,NSH,NYR,2023-10-19 23:00:00,8477424
2023020148,2023-11-02,Thursday 07:00 PM,CAR,NYR,2023-11-02 23:00:00,8478048
2023020183,2023-11-07,Tuesday 07:30 PM,DET,NYR,2023-11-08 00:30:00,8471734
2023020196,2023-11-09,Thursday 07:00 PM,MIN,NYR,2023-11-10 00:00:00,8475839
2023020225,2023-11-12,Sunday 07:00 PM,CBJ,NYR,2023-11-13 00:00:00,8471734
2023020308,2023-11-25,Saturday 01:00 PM,BOS,NYR,2023-11-25 18:00:00,8471734
2023020322,2023-11-27,Monday 07:00 PM,BUF,NYR,2023-11-28 00:00:00,8480045
2023020338,2023-11-29,Wednesday 07:30 PM,DET,NYR,2023-11-30 00:30:00,0
2023020370,2023-12-03,Sunday 06:00 PM,SJS,NYR,2023-12-03 23:00:00,0
2023020424,2023-12-10,Sunday 07:00 PM,LAK,NYR,2023-12-11 00:00:00,0
2023020432,2023-12-12,Tuesday 07:00 PM,TOR,NYR,2023-12-13 00:00:00,0
2023020456,2023-12-15,Friday 07:00 PM,ANA,NYR,2023-12-16 00:00:00,0
2023020511,2023-12-22,Friday 07:30 PM,EDM,NYR,2023-12-23 00:30:00,0
2023020522,2023-12-23,Saturday 07:30 PM,BUF,NYR,2023-12-24 00:30:00,0
2023020529,2023-12-27,Wednesday 07:00 PM,WSH,NYR,2023-12-28 00:00:00,0
2023020575,2024-01-02,Tuesday 07:00 PM,CAR,NYR,2024-01-03 00:00:00,0
2023020591,2024-01-04,Thursday 07:00 PM,CHI,NYR,2024-01-05 00:00:00,0
2023020621,2024-01-08,Monday 07:00 PM,VAN,NYR,2024-01-09 00:00:00,0
2023020669,2024-01-14,Sunday 01:00 PM,WSH,NYR,2024-01-14 18:00:00,0
2023020681,2024-01-16,Tuesday 07:00 PM,SEA,NYR,2024-01-17 00:00:00,0
2023020755,2024-01-26,Friday 07:00 PM,VGK,NYR,2024-01-27 00:00:00,0
2023020781,2024-02-05,Monday 07:00 PM,COL,NYR,2024-02-06 00:00:00,0
2023020791,2024-02-07,Wednesday 07:00 PM,TBL,NYR,2024-02-08 00:00:00,0
2023020820,2024-02-12,Monday 07:00 PM,CGY,NYR,2024-02-13 00:00:00,0
2023020840,2024-02-15,Thursday 07:00 PM,MTL,NYR,2024-02-16 00:00:00,0
2023020877,2024-02-20,Tuesday 07:00 PM,DAL,NYR,2024-02-21 00:00:00,0
2023020939,2024-02-28,Wednesday 07:00 PM,CBJ,NYR,2024-02-29 00:00:00,0
2023020976,2024-03-04,Monday 07:00 PM,FLA,NYR,2024-03-05 00:00:00,0
2023021018,2024-03-09,Saturday 07:30 PM,STL,NYR,2024-03-10 00:30:00,0
2023021028,2024-03-11,Monday 07:00 PM,NJD,NYR,2024-03-11 23:00:00,0
2023021073,2024-03-17,Sunday 01:00 PM,NYI,NYR,2024-03-17 17:00:00,0
2023021085,2024-03-19,Tuesday 07:00 PM,WPG,NYR,2024-03-19 23:00:00,0
2023021119,2024-03-23,Saturday 08:00 PM,FLA,NYR,2024-03-24 00:00:00,0
2023021137,2024-03-26,Tuesday 07:00 PM,PHI,NYR,2024-03-26 23:00:00,0
2023021182,2024-04-01,Monday 07:00 PM,PIT,NYR,2024-04-01 23:00:00,0
2023021198,2024-04-03,Wednesday 07:00 PM,NJD,NYR,2024-04-03 23:00:00,0
2023021234,2024-04-07,Sunday 07:00 PM,MTL,NYR,2024-04-07 23:00:00,0
2023021257,2024-04-11,Thursday 07:00 PM,PHI,NYR,2024-04-11 23:00:00,0
2023021270,2024-04-13,Saturday 12:30 PM,NYI,NYR,2024-04-13 16:30:00,0
2023021292,2024-04-15,Monday 07:30 PM,OTT,NYR,2024-04-15 23:30:00,0
2023020006,2023-10-11,Wednesday 07:30 PM,CHI,BOS,2023-10-11 23:30:00,8476999
2023020021,2023-10-14,Saturday 07:00 PM,NSH,BOS,2023-10-14 23:00:00,8480280
2023020100,2023-10-26,Thursday 07:00 PM,ANA,BOS,2023-10-26 23:00:00,8476434
2023020119,2023-10-28,Saturday 07:00 PM,DET,BOS,2023-10-28 23:00:00,8480280
2023020130,2023-10-30,Monday 07:00 PM,FLA,BOS,2023-10-30 23:00:00,8476999
