playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8476453,N. Kucherov,TBL,R,26961,21,15,21,18,98,13,8,4955,10,1,75.1,W,F,10.03,3.58,0,60,214.8
8476468,J. Miller,VAN,C,26486,22,13,20,16,50,44,17,5474,2305,10,71.9,C,F,9.77,3.27,0,60,196.2
8480069,C. Makar,COL,D,30559,21,6,26,14,51,11,37,5634,3960,20,69.7,D,D,8.21,3.32,0,61,202.51999999999998
8477933,S. Reinhart,FLA,C,26057,21,15,12,10,55,9,25,4841,2519,10,65.9,C,F,9.1,3.14,0,61,191.54000000000002
8480800,Q. Hughes,VAN,D,32684,22,8,25,15,68,8,18,5751,1422,18,65.1,D,D,7.17,2.96,0,60,177.6
8477956,D. Pastrnak,BOS,R,24326,21,13,18,14,98,22,4,4737,103,5,65.0,W,F,9.62,3.1,0,61,189.1
8477492,N. MacKinnon,COL,C,27617,21,7,21,10,96,13,20,6114,78,7,60.9,C,F,7.94,2.9,0,61,176.9
8479318,A. Matthews,TOR,C,24219,19,14,7,7,78,27,22,3920,1436,-1,60.0,C,F,8.92,3.16,0,63,199.08
8480012,E. Pettersson,VAN,C,26119,22,8,21,14,51,28,16,5751,2445,2,59.9,C,F,8.26,2.72,0,60,163.20000000000002
8478010,B. Point,TBL,C,26726,22,11,18,13,65,5,11,4928,30,-4,59.0,C,F,7.95,2.68,0,60,160.8
8478366,F. Vatrano,ANA,R,23263,21,13,7,7,73,39,20,2715,3049,1,57.7,W,F,8.93,2.75,0,61,167.75
8477939,W. Nylander,TOR,R,23026,19,12,15,11,84,10,7,3864,821,3,57.4,W,F,8.97,3.02,0,63,190.26
8478550,A. Panarin,NYR,L,23355,20,11,19,13,79,1,3,3967,4,1,57.0,W,F,8.79,2.85,0,62,176.70000000000002
8478420,M. Rantanen,COL,R,27377,21,12,15,10,64,11,11,6397,35,9,57.0,W,F,7.5,2.71,0,61,165.31
8480865,N. Dobson,NYI,D,30019,20,5,11,8,48,15,51,3468,1365,5,56.8,D,D,6.81,2.84,0,62,176.07999999999998
8480839,R. Dahlin,BUF,D,32770,22,4,14,6,49,42,45,4195,976,-4,56.6,D,D,6.22,2.57,0,60,154.2
8476887,F. Forsberg,NSH,L,23028,20,11,14,9,83,31,7,5057,24,1,55.4,W,F,8.66,2.77,0,62,171.74
8478444,B. Boeser,VAN,R,24686,22,15,9,9,62,13,7,5666,27,8,54.5,W,F,7.95,2.48,0,60,148.8
8476875,M. Matheson,MTL,D,31307,21,5,10,9,57,13,44,5343,3722,-10,53.5,D,D,6.15,2.55,0,61,155.54999999999998
8478398,K. Connor,WPG,L,24800,20,14,9,9,82,2,7,4528,58,-8,53.4,W,F,7.75,2.67,0,62,165.54
8476432,B. Jenner,CBJ,C,27004,23,11,5,3,67,33,29,4683,1526,0,53.0,C,F,7.07,2.3,0,59,135.7
8476885,J. Trouba,NYR,D,27306,20,1,7,1,39,46,70,228,4012,7,53.0,D,D,6.99,2.65,0,62,164.29999999999998
8475786,Z. Hyman,EDM,L,23481,20,12,10,6,64,19,15,4279,223,1,52.8,W,F,8.1,2.64,0,62,163.68
8477934,L. Draisaitl,EDM,C,25814,20,9,19,13,62,10,4,4435,1268,-3,52.7,C,F,7.35,2.64,0,62,163.68
8478402,C. McDavid,EDM,C,23373,18,7,18,12,54,24,13,3928,954,-4,52.3,C,F,8.06,2.91,0,62,180.42000000000002
8477346,M. Weegar,CGY,D,28742,22,5,6,3,56,33,51,1613,2766,0,51.9,D,D,6.5,2.36,0,60,141.6
8478403,J. Eichel,VGK,C,27022,22,8,12,7,92,7,21,5643,2996,0,51.9,C,F,6.91,2.36,0,60,141.6
8471675,S. Crosby,PIT,C,22826,20,13,11,3,77,15,8,3799,183,11,51.7,C,F,8.15,2.58,0,62,159.96
8480803,E. Bouchard,EDM,D,26311,20,5,15,10,60,9,29,4464,351,-5,51.4,D,D,7.03,2.57,0,62,159.34
8479407,J. Bratt,NJD,L,22449,19,8,17,16,44,18,8,3648,1079,-3,51.2,W,F,8.21,2.69,0,63,169.47
8475188,B. McNabb,VGK,D,26765,22,1,7,1,22,24,72,10,4537,10,50.1,D,D,6.74,2.28,0,60,136.79999999999998
8478493,J. Eriksson Ek,MIN,C,23223,19,10,7,7,66,27,20,4885,2339,0,49.8,C,F,7.72,2.62,0,63,165.06
8474564,S. Stamkos,TBL,C,21777,20,9,14,14,63,15,6,4626,31,-11,49.8,C,F,8.23,2.49,0,60,149.4
8478500,I. Provorov,CBJ,D,32280,23,2,12,5,32,17,52,3186,4359,-3,49.4,D,D,5.51,2.15,0,59,126.85
8481542,M. Seider,DET,D,26946,20,2,10,7,34,42,47,3945,3703,1,48.6,D,D,6.49,2.43,0,62,150.66
8475184,C. Kreider,NYR,L,22554,20,13,7,11,52,18,6,4051,2068,6,48.5,W,F,7.74,2.42,0,62,150.04
8474600,R. Josi,NSH,D,29620,20,4,11,7,75,14,34,5740,775,-1,48.4,D,D,5.88,2.42,0,62,150.04
